图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,下水时间,枪械,满排吨位,火炮,服役时间
NULL,NULL,NULL,NULL,"
可人力携带，并能在新加坡岛上的河流和环绕的小溪中乘载部分士兵。
",SBEC公司(新加坡),NULL,NULL,NULL,1.8米,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,5.4米,新加坡,NULL,12节,NULL,攻击艇,NULL,{'$oid': '5cc9320c831b973d657f1884'},NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,2.6吨,"
硬质攻击艇Mk3装载一台雅马哈220马力柴油发动机。满载并另外装载8名士兵的条件下，速度可达36节(轻装下可达40节)。部分为军队所用。
",NULL,未知,NULL,NULL,NULL,NULL,NULL,舰船舰艇,巡逻舰/艇,8人,7.4米,英国,NULL,40节,NULL,硬质攻击艇,未知,{'$oid': '5cc9320c831b973d657f1885'},NULL,NULL,500吨以内,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/34742b6914ac78d2344c676a7d2e383f.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,NULL,新加坡,NULL,43节,NULL,港口艇,NULL,{'$oid': '5cc9320c831b973d657f1886'},NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,"
该船采用玻璃纤维增强塑料船体，尾部为潜水员提供休息用平台。
",NULL,500海里,NULL,NULL,4.7米,NULL,NULL,舰船舰艇,巡逻舰/艇,5人,16.5米,英国,NULL,25节,NULL,Colvic公司艇,未知,{'$oid': '5cc9320c831b973d657f1887'},NULL,一挺12.7毫米机枪；一挺7.62毫米机枪。,NULL,NULL,NULL
NULL,NULL,NULL,32吨,"
巡逻艇在许多国家甚至不以配备于军队，而是准军事的海岸巡逻队或警察，用于查缉的日常勤务。 
",NULL,未知,NULL,NULL,13.1米,NULL,NULL,舰船舰艇,巡逻舰/艇,5人,62米,中国,太平洋,15节,NULL,近岸巡逻艇/导弹艇,NULL,{'$oid': '5cc9320c831b973d657f1888'},NULL,NULL,500吨以内,NULL,NULL
http://images.huanqiu.com/sarons/2014/01/adb44dd2e9ea5d8240864e1dcd073103.jpg,NULL,NULL,993吨,野岛级PLH舰只建了一艘，也就是野岛号。然后改装成PL舰隐岐号。该船可搭载直升机，是重要的搜救型船只。,NULL,7000里,NULL,NULL,10.5米,NULL,NULL,舰船舰艇,巡逻舰/艇,39人,87米,日本,日本第8管区,20节,NULL,野岛级PLH型/隐岐号PL型巡视舰,NULL,{'$oid': '5cc9320c831b973d657f1889'},NULL,NULL,500-2000吨,NULL,1991年10月31日
NULL,NULL,NULL,NULL,"
该船为土耳其特种部队使用，可以携带一艘硬质充气艇(RIB)。
",NULL,未知,NULL,NULL,4.04米,NULL,NULL,舰船舰艇,巡逻舰/艇,10人,16.8米,土耳其,NULL,50节,NULL,快速冲击拦截艇,未知,{'$oid': '5cc9320c831b973d657f188a'},NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,7吨,NULL,Muller AG(瑞士，施皮茨),未知,NULL,NULL,3.3米,NULL,NULL,舰船舰艇,巡逻舰/艇,8人,10.7米,瑞典,NULL,35节,NULL,Aquarius级快速巡逻船,NULL,{'$oid': '5cc9320d831b973d657f188b'},NULL,两挺12.7毫米机枪(1978年-1984年标准)。,500吨以内,NULL,NULL
NULL,NULL,NULL,NULL,"
硬质充气艇有4种类型：Halmatic Arctic22、Racific 22、Arctic 28和Pacific 28，可乘载10～15名全副装备的士兵，速度为26～35节。
",NULL,未知,NULL,NULL,NULL,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,NULL,英国,NULL,NULL,NULL,硬质充气艇,未知,{'$oid': '5cc9320d831b973d657f188c'},NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,1.52吨,"
SSK 96 Subskimmer是专门为水上突击队设计的。该艇是一款硬质船体的充气艇，装有一台二冲程三缸90马力雅马哈舷外发动机，该发动机也可以在水下工作。切换到水下模式时操作简单快捷，只需约90秒的时间。
",KSA(水下)有限公司,129.64千米,NULL,NULL,1.9米,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,5.8米,英国,NULL,25节,NULL,SSK 96 Subskimmer硬式充气艇,未知,{'$oid': '5cc9320d831b973d657f188d'},NULL,NULL,500吨以内,NULL,NULL
