国家,生产厂商
意大利,芬坎蒂尼造船公司
美国,纽约造船公司
日本,IHI海洋联合横滨工厂
美国,霍河造船公司
美国,纽波纽斯船厂
美国,纽约海军造船厂（NewYork Naval )
美国,诺福克造船
美国,托德太平洋船厂，西雅图塔科玛造船公司
美国,加拿大船厂
美国,Henry J. Kaiser公司和波特兰的Oregon S.B. 公司
美国,纽约造船公司（New York Shipbuilding）
美国,纽约布鲁克林造船厂
美国,纽波特纽斯造船及船坞公司 
美国,纽波特纽斯船厂
日本,Yokosuka海军船厂
日本,横滨海军造船厂
日本,川崎重工业神户造船厂
日本,浅野造船厂
日本,吴港(Kure)海军船厂
日本,纽约造船公司
日本,广岛县吴市吴海军工厂 
日本,川崎重工神戸川崎造船所
日本,横须贺船厂
日本,川畸公司神户船厂
日本,北德意志罗伊德公司
日本,三菱公司长崎船厂，Sasebo海军船厂（改装）
日本,三菱长崎船厂，吴市海军船厂（改装）
英国,泰恩的威克斯埃姆斯特朗造船厂
日本,三菱公司长崎船厂
日本,大阪商船公司
苏/俄,乌克兰黑海尼古拉耶夫造船厂
泰国,纳凡蒂亚造船厂（巴赞造船厂）
印度,乌克兰尼古拉耶夫黑海船厂
英国,维克斯-阿姆斯特朗集团，巴罗因弗内斯造船厂
英国,斯旺.亨特船厂
英国,Vickers-Armstrong Tyne 
德国,基尔德意志造船厂
德国,德意志造船厂
美国,纽约造船厂（卡伯特号）
英国,威廉比尔德莫尔公司
中国,江南造船厂（上海），辽南造船厂（大连）
美国,巴斯钢铁厂，英戈尔斯造船厂
加拿大,加拿大戴维造船厂
中国,首舰大连造船厂
德国,德国布洛姆－福斯造船厂
中国,大连船舶重工（426厂） 
英国,英国宇航系统公司（BAE），苏格吐温造船厂，霍氏克罗夫特造船厂
法国,法国舰艇建造局洛里昂船厂，意大利泛安科纳船厂
日本,三菱重工业长崎造船所（“榛名”号），石川岛播磨重工业（“比睿”号）
法国,法国洛里昂海军船厂
法国,法国布勒斯特造船厂
法国,法国劳伦特海军造船厂
日本,IHI株式会社日立造船株式会社住友重工三井工程及造船三菱重工
美国,伯利恒钢铁公司托德造船厂等
日本,三菱重工长崎厂
韩国,韩国大宇重工玉浦船厂
英国,英国罗亚造船厂
日本,三菱重工业长崎造船所
日本,东京IHI船厂
日本,住友重机械，追浜造船所，浦贺船厂
苏/俄,俄罗斯圣彼德堡的北方船厂
日本,三菱重工长崎造船厂（首舰“旗风”号)
日本,石川岛播磨重工业，东京第1工场
美国,英格尔斯造船厂 
苏/俄,俄罗斯圣彼德堡北方造船厂
英国,坎默·莱尔德(Cammellaird)公司，沃斯珀·桑尼克罗夫特(VosperThonycroft)公司，“维克斯”(Vickers)公司和“斯旺·亨特”(SwanHunter)公司
日本,住友重工浦贺厂
韩国,韩国大宇造船和船用工程公司（DSME）和现代重工公司（HHI）的两大造船厂
中国,俄罗斯北方造船厂
苏/俄,扬塔尔船厂
苏/俄,俄罗斯杨塔尔造船厂
苏/俄,俄罗斯北方造船厂
中国,苏联DalzavodVladivostok厂
韩国,韩国大宇造船/船用工程公司（DSME）和现代重工公司（HHI）的两大造船厂
韩国,大宇建船及海洋工程集团
韩国,韩国现代重工船厂
日本,DD-164、166──石川岛播磨重工东京厂 DD-165、167──三菱重工长崎厂
韩国,现代重工业，大宇建船及海洋工程集团
美国,巴斯钢铁厂及伯利恒造船联福尔里弗造船厂、威廉·柯兰普兄弟造船公司及美国海军各海军造船厂
美国,纽约造船厂，伯利恒造船，(福尔里弗造船厂)
日本,舞鹤海军工厂10艘，三菱长崎造船所5艘。
日本,佐世保工厂完工（白露号）
日本,舞鹤海军工厂
美国,巴斯钢铁造船厂
日本,佐世保海军工厂（朝潮号）
日本,三菱造船长崎造船所
美国,洛克希德空间系统
苏/俄,俄罗斯宇航公司NPO拉夫契金设计局
以色列,以色列航天工业公司
美国,诺斯洛普·格鲁曼公司
意大利,意大利泰利斯·阿莱尼亚空间公司
美国,洛克希德·马丁公司
美国,洛克希德·马丁公司太空系统分部
美国,休斯飞机公司
美国,约翰·霍普金斯大学应用物理实验室
美国,洛克希德·马丁太宅系统分部
苏/俄,俄罗斯宇航公司NPO拉沃契金设计局
苏/俄,俄岁斯雷席特涅夫应用机械研究与生产联合会
德国,EADS阿斯特里厄姆公司
意大利,欧洲阿尔卡特-阿莱尼亚航天公司
加拿大,Spar AerosPace公司(现在的麦克唐纳-德特威尔联合有限公司)／巴尔航天公司
英国,欧洲EADS阿斯特里厄姆公司
韩国,韩国航天研究院
韩国,阿尔卡特·阿莱尼亚航天公司
美国,诺斯洛普·格鲁曼空间技术公司
德国,德国OHB-系统公司
奥地利,奥地利斯太尔-曼利夏有限公司
澳大利亚,利思戈轻武器工厂
保加利亚,保加利亚阿森纳公司
比利时,比利时列日精密仪器公司
智利,智利国营轻武器工厂
奥地利,奥地利斯泰尔-曼利夏（Steyr Mannlicher）公司
奥地利,奥地利斯泰尔·曼利夏公司
中国,346厂
中国,中国北方工业公司
阿根廷,阿根廷多明戈-马特制造厂
比利时,比利时FN赫斯塔尔公司
南非,南非米切姆公司
芬兰,芬兰蒂卡科斯基兵工厂
中国,中国兵器装备集团
瑞典,卡尔·古斯塔夫步枪厂
捷克,乌尔斯基·布罗德国营兵工厂
伊朗,俄罗斯中央研究精密机械制造局
苏/俄,图拉兵工厂
丹麦,丹麦麦德森公司
西班牙,西班牙星公司
以色列,以色列军事工业（IMI）
德国,赫克勒-科赫公司
意大利,伯莱塔公司
韩国,韩国大宇集团
西班牙,西班牙星公司（STAR）
秘鲁,秘鲁西玛瑟法尔公司
德国,德国埃尔马兵工厂
葡萄牙,葡萄牙普拉塔·布拉科兵工厂
美国,美国柯尔特公司
德国,前西德瓦尔特有限公司
德国,德国赫克勒-科赫公司
苏/俄,伊兹玛什公司
波兰,波兰拉多姆公司
英国,英国斯特林军备公司（Sterling Armament Company）
匈牙利,匈牙利武器和机械厂
葡萄牙,葡萄牙国家军品工业公司
英国,伯明翰小型武器公司（BSA），恩菲尔德兵工厂等
德国,德国赫克勒-科赫公司在美国的子公司
英国,伯明翰小型武器公司（BSA）恩菲尔德兵工厂等
美国,美国斯特姆-鲁格公司
前南斯拉夫,前南斯拉夫扎斯塔瓦武器公司
美国,美国通用汽车公司
美国,美国自动武器公司
美国,美国军用武器装备公司
美国,美国KRISS公司
苏/俄,图拉仪器设计局（KBP）
捷克,捷克Česká Zbrojovka Uherský Brod
瑞典,CBJ技术有限公司
美国,SOG特种刀具和工具公司(SOG Speciality Knives and Tools Inc)(美国，华盛顿)
美国,SOG特种刀具和工具公司(美国，华盛顿)
英国,威京逊公司(英国，伦敦)
德国,德国艾克洪索尼根公司
德国,A Eickhorn GmbH ard Co
苏/俄,俄罗斯图拉兵工厂
英国,BCB国际有限公司
美国,格鲁曼公司 
美国,麦克唐纳飞行器公司
中国,中国空间技术研究院
中国,中国航天科技集团公司
苏/俄,RSC Energia公司
日本,三菱重工
苏/俄,OKB-1(Korolev)
欧盟,EADS航天运输公司
苏/俄,进步国家火箭与航天科研生产中心
美国,NASA
印度,印度空间研究组织
中国,上海空间飞行技术研究院
中国,ADEFuncate；DigiconCAST
美国,洛克希德·马丁太空系统分部
苏/俄,俄罗斯雷席特涅夫应用机械研究与生产联合会
美国,贝尔通信实验室
美国,休斯太空通讯公司
苏/俄,OKB-1(Ko rolev)
